Protein name,RNA name
CD158b,CD158b/KIR2DL2
CD160,CD160
CD215,CD215/IL15RA
KLRG1,KLRG1
LAYN,LAYN
CD155-PVR,CD155-PVR/PVR
CD112-Nectin-2,CD112-Nectin-2/NECTIN2
CD56-NCAM,CD56-NCAM/NCAM1
CD138-1-Syndecan-1,CD138-1-Syndecan-1/SDC1
CD269-BCMA,CD269-BCMA/TNFRSF17
CD90-Thy1,CD90-Thy1/THY1
CD117-c-kit,CD117-c-kit/KIT
CD56-NCAM-Recombinant,CD56-NCAM-Recombinant/NCAM1
Cadherin11,CDH11/Cadherin11
CD57_Recombinant,B3GAT1/CD57_Recombinant
CD66a-c-e,CD66a-c-e/CEACAM1
Notch1,NOTCH1
integrin_7,ITGB7/integrin_7
Notch3,NOTCH3
CD158,CD158/KIR2DL1
Folate_Receptor,FOLR2/Folate_Receptor
CD158f,CD158f/KIR2DL5A
CD11a-CD18,CD11a-CD18/ITGAL
CD307c-FcRL3,CD307c-FcRL3/FCRL3
VEGFR3,FLT4/VEGFR3
CLEC1B,CLEC1B
HLA.DR,HLA-DRA/HLA-DRB1/HLA-DRB3/HLA.DR
TCR.a.b,TCR.a.b/TRA/TRB
TCR.g.d,TCR.g.d/TRD/TRG
BCL6,BCL6
Beta Catenin,CTNNB1
